# AcquisitionDate	AcquisitionTime	PercentUniformityIntegral	GhostingRatio	GhostingRatioSlice5	GhostingRatioSlice5STD	SlicePositionAccuracySlice1	SlicePositionAccuracySlice11	DiameterXSlice1	DiameterXSlice5	DiameterYSlice1	DiameterYSlice5	DiameterDiag1Slice1	DiameterDiag1Slice5	DiameterDiag2Slice1	DiameterDiag2Slice5	SliceThickness	UL1Score	LR1Score	UL2Score	LR2Score	UL3Score	LR3Score	SNR
2015-01-13	16:34:26.0000000	91.7066230764841	0.000750969029333442	0.00151070031357705	4.22808036442457	0.977	-0.977	18.9538	19.0515	19.1492	19.0515	18.9291071110076	19.0672757760515	19.0672757760515	19.0672757760515	5.41134774774775	4	4	4	2	1	1	399.922199219947
2015-01-13	16:11:53.0000000	90.8428268052633	0.00090633254474483	0.000296290375239858	0.664677290415078	0.977	-0.977	18.8561	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.3735	4	4	4	4	2	1	331.045021664207
2015-01-14	18:41:29.0000000	91.515955424046	0.0012385924642542	0.000595524437720743	1.3847897350811	0.977	-1.954	18.9538	18.9538	19.1492	19.0515	19.0672757760515	19.0672757760515	18.9291071110076	18.9291071110076	5.41134774774775	4	4	4	2	1	1	373.783661378067
2015-01-14	18:03:16.0000000	90.3386520416169	0.000927193394468069	0.000574177858745138	1.31919406237176	0.976999999999997	-1.954	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	5.27399074074074	4	4	4	2	1	1	369.960113737416
2015-01-15	17:06:16.0000000	91.008285793144	0.00118399807218935	0.00233716258292344	5.25482562373835	0.977	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	19.0672757760515	18.9291071110076	18.9291071110076	5.31344587155963	4	4	4	3	2	1	403.887255287983
2015-01-15	08:49:21.0000000	91.1748803227538	0.000236813156865936	0.000676536270658543	3.84439427459705	0.977	-0.977	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.41134774774775	4	4	4	3	1	1	342.149684086561
2015-01-16	08:43:24.0000000	91.6849515855541	0.000837741299178653	0.000704944214083963	1.92252536763515	0.977	-1.954	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.1781	4	4	4	4	2	1	334.049423733016
2015-01-16	11:32:02.0000000	90.3102796320935	0.000780210245722804	0.000980956247905665	3.2880069282464	0.977	-0.977	18.9538	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.32420183486238	4	4	4	2	1	1	411.097558744594
2015-01-16	13:28:16.0000000	89.709827346371	0.00115644420771044	0.000227633465943897	0.904889732568147	0.977	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	19.0672757760515	18.9291071110076	18.9291071110076	5.46945535714286	4	4	4	3	1	1	410.910540395602
2015-01-16	15:45:21.0000000	90.4769281375325	0.000615723383007997	0.00100070249372529	2.69082558640317	1.954	-0.977	18.9538	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.42190990990991	4	4	4	2	1	1	396.918986708495
